"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator Data by Lower Layer Super Output Areas - Households With No Central Heating"
""

Filters:
Indicator: Population living in households with no central heating (percentage)

"","","All Ages ","0- 15 ","0 - 18 ","16 - 64 ",65+ ," 0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 29 ","30 -34 ","35 - 39 ","40 - 44 ","45 - 49 ","50 - 54 ","55 - 59 ","60 - 64 ","65 - 69 ","70 - 74 ","75 - 79 ","80 - 84 ",85+ 
"Gwynedd 002D ","W01000090 ",6.075768406,3.4759358289,4.3879907621,5.8072009292,13.414634146,2.5423728814,5.504587156,2.7210884354,10.1694915254237,5.8333333333,3.3707865169,6.4935064935,4.1666666667,4.7169811321,8.2474226804,4.9382716049,2.7027027027,9.6774193548,15.873015873,6.0606060606,21.428571429,10.344827586,9.0909090909
"Gwynedd 002E ","W01000102 ",3.2173913043,4.0358744395,4.5801526718,3.3921302578,1.5789473684,5.4054054054,5.8823529412,1.2345679012,7.69230769230769,0,2.9850746269,4.4117647059,3.9473684211,4.5454545455,3.4090909091,2.0833333333,6.4516129032,1.4925373134,0,2.3255813953,3.2258064516,3.0303030303,0
"Gwynedd 003A ","W01000050 ",5.772005772,2.8985507246,3.3742331288,6.2283737024,7.4074074074,2.7397260274,3.3333333333,2.6548672566,6,4.6875,12.307692308,4.4776119403,6.1728395062,3.7037037037,6.9565217391,4.7619047619,8.5106382979,5.9322033898,6.0606060606,7.1428571429,8.6956521739,11.111111111,4
"Gwynedd 003B ","W01000071 ",5.3781512605,2.2988505747,2.1207177814,5.5098163395,10.394265233,1.5957446809,1.3698630137,3.7234042553,1.0989010989011,6.3291139241,6.936416185,4.347826087,3.0150753769,6.5989847716,3.9772727273,5.5172413793,7.9365079365,9.2307692308,13.402061856,4.8387096774,10.714285714,10.810810811,11.111111111
"Gwynedd 003C ","W01000096 ",2.7823240589,2.6923076923,2.2875816993,2.5,3.9603960396,2.1276595745,2.2222222222,3.9473684211,0,1.1904761905,1.25,4.7058823529,1.0101010101,0,1.4925373134,0,6.8493150685,9.375,3.6363636364,3.8461538462,6.25,2.5,4.347826087
"Gwynedd 003D ","W01000097 ",6.1261261261,1.0752688172,0.956937799,6.8601583113,8.4337349398,1.2820512821,1.8867924528,0,0,5.5555555556,4.3956043956,5.1948051948,8.8235294118,2.5316455696,12.048192771,8.9552238806,4.4444444444,13.888888889,7.6923076923,2.5,8.1081081081,16.666666667,15.789473684
"Gwynedd 003E ","W01000115 ",4.3812104788,2.9612756264,3.7109375,4.1696113074,6.9444444444,3.7878787879,0.7142857143,4.1916167665,8.21917808219178,1.6806722689,4.7244094488,2.2556390977,2.8776978417,3.488372093,7.2625698324,4.8128342246,4.2553191489,2.7586206897,3.3613445378,11.538461538,9.0909090909,8.5106382979,2.5641025641
"Gwynedd 005A ","W01000063 ",4.4760400211,2.5462962963,2.5844930417,5.0622406639,4.9618320611,2.7027027027,1.7094017094,2.994011976,2.8169014084507,8.3969465649,6.3063063063,5.1020408163,0.8620689655,4.347826087,3.5714285714,5.6910569106,7.7777777778,5.8823529412,2.2988505747,11.86440678,2.0833333333,0,8.1081081081
"Gwynedd 005B ","W01000081 ",4.2748091603,1.5197568389,1.5789473684,4.6714172605,5.3619302949,3.738317757,1.2345679012,0,1.96078431372549,4.5801526718,3.5398230088,4.1666666667,5.7324840764,4.4943820225,3.5714285714,4.5871559633,6.3063063063,6.4,7.8431372549,4.5045045045,4.9180327869,3.6363636364,4.5454545455
"Gwynedd 005C ","W01000099 ",5.7126696833,6.8376068376,6.0046189376,5.5220017256,5.0387596899,6.0869565217,8.0808080808,6.5693430657,2.4390243902439,4.6296296296,13.684210526,8.4210526316,4.2016806723,8.2278481013,4.4776119403,4.5045045045,2.5423728814,2.8776978417,3.9603960396,5,9.756097561,2.5641025641,5.8823529412
"Gwynedd 005D ","W01000103 ",6.1638280616,3.982300885,3.2142857143,6.5552699229,6.9868995633,5.9701492537,4,2.752293578,0,6.0240963855,6,7.1428571429,8.5714285714,6.6666666667,6.25,4.347826087,4.8780487805,14.473684211,4.0540540541,14,7.3170731707,5.5555555556,3.5714285714
"Gwynedd 004A ","W01000052 ",1.366353544,0,0,1.8741633199,1.0928961749,0,0,0,0,1.4285714286,0,4.6153846154,1.2820512821,0,1.5151515152,3.8461538462,0,5.9523809524,0,2.6315789474,0,5,0
"Gwynedd 004B ","W01000053 ",5.4320987654,3.734439834,3.8327526132,6.0759493671,4.8913043478,1.3333333333,3.7974683544,5.7471264368,4.34782608695652,5.5555555556,8.4507042254,3.3333333333,7.3684210526,6.7961165049,6.3829787234,4.6511627907,3.2258064516,10,4.6153846154,6.3829787234,6.25,0,7.6923076923
"Gwynedd 004C ","W01000087 ",2.0515518148,1.6317016317,1.6161616162,2.1222410866,2.380952381,2.1428571429,2.1582733813,0.6666666667,1.51515151515152,2.2727272727,0.9615384615,5.737704918,1.3513513514,2.1428571429,1.8867924528,2.8037383178,0.8474576271,1.4814814815,2.2988505747,1.4492753623,1.7543859649,8.1081081081,0
"Gwynedd 004D ","W01000119 ",4.068716094,4.2780748663,4.008908686,4.3653458697,2.5787965616,5.1948051948,5.2631578947,2.4,2.66666666666667,8.8888888889,6.1728395062,3.7267080745,3.550295858,1.8404907975,4.4585987261,3.6363636364,5.3571428571,2.0689655172,0.9900990099,4.0816326531,1.3157894737,2.0833333333,7.6923076923
"Gwynedd 006A ","W01000059 ",4.5677799607,3.1941031941,3.4836065574,5.0929668553,4.3367346939,2.7397260274,1.724137931,4.8275862069,4.93827160493827,7.9470198675,1.7094017094,4.9504950495,5,2.0833333333,5.2631578947,9.4827586207,3.9603960396,5.1948051948,0.9345794393,3.1578947368,3.6585365854,9.375,9.0909090909
"Gwynedd 006B ","W01000093 ",5.5269320843,3.0821917808,3.1073446328,6.1767005473,5.3191489362,1.1904761905,4.7619047619,3.2258064516,3.2258064516129,9.6774193548,8.75,5.737704918,1.7094017094,7.5757575758,5.5555555556,6.25,6.2015503876,4.7619047619,3.821656051,4.8951048951,8.0808080808,2.5,8.2352941176
