"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Layer Super Output Areas - Overcrowded Households"
""

Filters:
Indicator: People living in overcrowded households (bedrooms measure) (percentage)

"","","All Ages ","0- 15 ","0 - 18 ","16 - 64 ",65+ ," 0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 29 ","30 -34 ","35 - 39 ","40 - 44 ","45 - 49 ","50 - 54 ","55 - 59 ","60 - 64 ","65 - 69 ","70 - 74 ","75 - 79 ","80 - 84 ",85+ 
"Isle of Anglesey 005B ","W01000013 ",2.4215246637,5.8510638298,5.1111111111,2.40060015,0,8.0808080808,4.4247787611,5.487804878,1.35135135135135,2.380952381,6.4935064935,8.6021505376,5.2631578947,1.3157894737,0.6622516556,0.6172839506,0.5586592179,1.9512195122,0,0,0,0,0
"Isle of Anglesey 005C ","W01000019 ",3.2324621733,5.7803468208,6.3636363636,3.0927835052,2.5742574257,10.256410256,8.6956521739,2.2727272727,8.51063829787234,4.6875,6.1224489796,5.5555555556,0,2.5641025641,4.5454545455,3,1.9607843137,0.6211180124,2.2727272727,5,3.0927835052,0,0
"Isle of Anglesey 005D ","W01000026 ",3.1040268456,10.95890411,8.9887640449,2.6315789474,0.8287292818,10.526315789,7.6923076923,13.043478261,0,4.1095890411,2.7027027027,10.204081633,1.8867924528,3.4090909091,3.7974683544,2.8985507246,0,0,0.7407407407,2.5641025641,0,0,0
"Isle of Anglesey 005E ","W01000035 ",5.501618123,8.7662337662,8.6253369272,6.0034305317,1.3157894737,7.5471698113,10.112359551,8.8495575221,7.93650793650794,16.666666667,5.9405940594,5,15.294117647,5.737704918,4.5112781955,3.2894736842,1.4925373134,1.7857142857,2.4390243902,1.0869565217,0,0,2.7777777778
"Isle of Anglesey 006A ","W01000006 ",5.0195567145,11.063829787,9.8245614035,4.6059365404,1.8633540373,7.5757575758,8.2191780822,15.625,4,6.4516129032,5.6603773585,6.4935064935,8.6021505376,5.2631578947,4.347826087,3.0303030303,0.9615384615,3.4246575342,2.8571428571,1.1904761905,0,2.2727272727,3.8461538462
"Isle of Anglesey 006B ","W01000012 ",2.0215633423,4.958677686,4.8611111111,1.9883040936,0.2583979328,2.7777777778,4.0540540541,7.2916666667,4.34782608695652,6.25,0,6.6666666667,1.1904761905,2.9702970297,0.9708737864,0.8928571429,0,0,0,1.1111111111,0,0,0
"Isle of Anglesey 006C ","W01000014 ",3.9705882353,4.8593350384,5.9957173448,4.6367851623,0.5633802817,5.0632911392,7.4380165289,1.7857142857,11.8421052631579,9.8039215686,4.8951048951,3.5211267606,4.9645390071,2.8776978417,2.4,2.7027027027,2.34375,3.0303030303,0,2.380952381,0,0,0
"Isle of Anglesey 006D ","W01000041 ",8.199871877,10.602409639,10.482180294,8.0937167199,3.8647342995,8.4967320261,9.4827586207,13.698630137,9.67741935483871,19.642857143,10.743801653,12.359550562,6.7307692308,5.376344086,3.6697247706,7.7922077922,1.1363636364,1.1904761905,9.0909090909,0,2.8571428571,0,3.2258064516
"Isle of Anglesey 008A ","W01000008 ",4.038329911,4.743083004,5.3156146179,4.7930283224,1.0344827586,3.8961038961,5.3333333333,4.9504950495,8.33333333333333,11.70212766,7.0422535211,8.75,4,0.9174311927,4.4943820225,3,0,3.9682539683,3.0303030303,0,0,0,0
"Isle of Anglesey 008B ","W01000011 ",6.1425061425,7.874015748,9.3567251462,7.9012345679,0.3521126761,6.6666666667,9.0909090909,8.1632653061,13.6363636363636,18.382352941,6.4516129032,7.1428571429,6.9444444444,10.9375,4.1095890411,3.5714285714,1.2820512821,2.4390243902,0,0,0,0,2.380952381
"Isle of Anglesey 008C ","W01000015 ",1.976284585,2.4691358025,2.397260274,2.0856201976,1.3736263736,2.8169014085,1.4084507042,2.9702970297,2.04081632653061,2.3529411765,6.25,3.2786885246,0,1.0309278351,0.8849557522,3.4188034188,1.6666666667,0.9090909091,0,1.2048192771,0,0,8.6956521739
"Isle of Anglesey 008D ","W01000042 ",4.1121495327,6.2814070352,6.0796645702,4.1545189504,1.6216216216,5.5172413793,3.6363636364,9.0909090909,5.06329113924051,7.6023391813,6.0402684564,1.9607843137,4.2372881356,3.2051282051,4.1666666667,3.3783783784,3.4482758621,1.8348623853,2.0618556701,0,1.4925373134,2.9850746269,1.8181818182
