"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Super Output Area - Income Deprivation"
""

Filters:
Indicator: Income deprivation (percentage of population)
Year: 2017

"","All Ages ","","","","","","","","","","","","","","","All Ages "
"","0 - 15 ","0 - 18 ","16 - 64 ",65+ ,"0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 34 ","35 - 44 ","45 - 54 ","55 - 64 ","65 - 74 ",75+ ,"."
"Flintshire 001B ",30,28,16,27,16,36,36,23,18,20,15,16,13,23,34,21
"Flintshire 001C ",22,22,9,16,31,17,21,24,13,6,11,7,7,11,24,13
"Flintshire 002A ",42,40,18,16,59,37,32,30,38,16,20,15,9,11,23,23
"Flintshire 002B ",37,36,17,27,39,33,40,31,15,24,14,13,16,23,32,23
"Flintshire 002C ",6,5,4,9,6,8,3,2,5,5,4,3,4,7,13,5
"Flintshire 006A ",18,16,7,11,16,11,24,7,9,10,6,6,6,5,20,9
"Flintshire 006B ",4,3,2,8,4,3,6,0,1,7,3,1,2,2,18,4
"Flintshire 006C ",8,9,7,16,2,6,16,11,9,4,10,4,9,10,24,10
"Flintshire 006D ",3,4,5,8,12,1,0,7,11,7,3,3,4,6,13,5
"Flintshire 006E ",6,6,4,16,11,3,6,4,6,7,4,3,4,10,24,7
"Flintshire 012A ",11,12,7,12,16,10,9,13,7,8,7,5,6,8,19,8
"Flintshire 012B ",14,12,5,10,19,10,11,5,4,7,4,4,5,4,19,7
"Flintshire 012C ",8,8,4,9,12,8,6,5,9,6,4,3,2,4,17,6
"Flintshire 012D ",7,7,4,8,3,9,8,6,5,3,5,4,1,3,15,5
"Flintshire 003A ",31,30,12,19,34,24,35,23,10,14,14,9,8,11,29,16
"Flintshire 003B ",29,29,16,28,33,25,29,28,14,18,20,10,15,23,34,21
"Flintshire 003C ",40,38,21,40,46,32,43,29,23,17,22,22,22,32,54,29
"Flintshire 003D ",21,20,12,18,21,24,20,9,21,13,12,7,11,13,27,15
"Flintshire 003E ",43,43,28,37,49,35,47,43,28,30,21,29,28,28,46,33
"Flintshire 003F ",22,21,14,13,24,20,22,15,14,14,16,14,13,11,18,15
"Flintshire 004A ",29,29,18,41,31,30,27,25,15,19,15,19,19,38,43,25
"Flintshire 004B ",21,23,22,37,28,14,24,35,10,19,17,21,32,35,38,26
"Flintshire 004C ",38,36,18,25,45,37,32,29,13,26,15,16,14,19,33,24
"Flintshire 004D ",31,27,12,16,33,29,30,15,11,11,13,11,12,13,21,16
"Flintshire 005A ",16,15,5,5,13,17,18,9,5,6,5,5,4,5,6,8
"Flintshire 005B ",23,21,9,14,25,18,27,13,10,11,7,8,10,9,26,13
"Flintshire 005C ",9,10,5,10,10,5,11,13,5,8,5,2,3,6,18,6
"Flintshire 005D ",12,11,6,13,18,11,9,8,8,9,6,5,4,12,14,9
"Flintshire 010A ",9,9,6,6,6,8,11,9,7,4,6,6,6,3,10,6
"Flintshire 010B ",14,15,7,12,11,8,26,17,9,8,5,8,5,10,17,9
"Flintshire 010C ",8,8,4,6,4,7,10,11,6,3,3,2,2,3,12,5
"Flintshire 010D ",9,8,4,9,10,8,9,3,7,4,5,3,3,5,15,6
"Flintshire 007A ",37,37,16,11,31,40,39,36,12,17,23,13,8,8,16,19
"Flintshire 007B ",29,29,22,33,26,40,26,28,23,18,22,24,24,28,38,26
"Flintshire 007C ",15,14,7,8,21,18,8,9,8,9,6,7,3,5,14,8
"Flintshire 007D ",34,36,25,34,24,39,39,49,26,23,19,31,20,31,42,28
"Flintshire 008A ",14,15,7,15,16,7,18,17,10,7,7,6,6,16,10,10
"Flintshire 008B ",16,16,7,11,22,13,12,18,13,7,5,6,4,8,15,9
"Flintshire 008C ",9,10,8,13,10,7,9,17,11,8,8,6,9,8,19,10
"Flintshire 008D ",14,13,7,13,15,12,15,8,13,5,9,8,5,11,17,10
"Flintshire 008E ",18,17,8,11,22,15,18,12,9,8,7,7,7,7,16,10
"Flintshire 009A ",24,24,10,22,21,27,25,28,8,8,8,16,9,17,28,15
"Flintshire 009B ",43,40,21,30,40,40,50,23,19,16,28,29,13,24,37,27
"Flintshire 009C ",19,19,11,21,19,17,21,17,11,9,9,10,14,17,27,14
"Flintshire 009D ",49,46,22,33,38,64,47,32,18,22,22,24,19,35,30,29
"Flintshire 009E ",44,44,27,34,47,46,40,41,25,26,24,27,28,28,38,32
"Flintshire 009F ",13,13,9,19,14,16,10,13,7,8,10,10,9,14,24,11
"Flintshire 011A ",17,17,10,17,18,22,13,15,10,9,12,9,9,14,22,13
"Flintshire 011B ",21,19,11,18,17,17,29,11,12,8,14,9,13,17,18,14
"Flintshire 011C ",35,33,12,23,37,35,34,19,11,9,13,14,14,17,32,18
"Flintshire 013A ",27,27,12,19,25,27,28,31,7,16,8,12,9,13,30,16
"Flintshire 013B ",2,2,2,9,5,2,0,2,4,6,1,3,1,5,13,4
"Flintshire 013C ",4,5,3,8,5,4,4,6,3,5,4,2,3,6,10,4
"Flintshire 013D ",7,6,3,5,7,8,7,0,5,4,3,3,1,1,10,4
"Flintshire 013E ",7,7,3,8,11,4,6,8,5,2,3,2,3,3,14,4
